City,State,total_incidents,total_victims
ASHTON,MD,534,542.0
BARNESVILLE,MD,69,71.0
BEALLSVILLE,MD,56,56.0
BELTSVILLE,MD,120,131.0
BETHESDA,MD,32928,33298.0
BOYDS,MD,1616,1652.0
BROOKEVILLE,MD,1412,1431.0
BURTONSVILLE,MD,5718,5835.0
CABIN JOHN,MD,305,308.0
CHEVY CHASE,MD,9370,9436.0
CLARKSBURG,MD,6716,6884.0
DAMASCUS,MD,3717,3835.0
DERWOOD,MD,8412,8515.0
DICKERSON,MD,416,427.0
GAITHERSBURG,MD,64005,65443.0
GARRETT PARK,MD,183,183.0
GERMANTOWN,MD,43743,45173.0
GLEN ECHO,MD,83,83.0
HIGHLAND,MD,16,17.0
HYATTSVILLE,MD,79,81.0
KENSINGTON,MD,7187,7324.0
LAUREL,MD,73,73.0
MONTGOMERY VILLAGE,MD,13823,14262.0
OLNEY,MD,6484,6569.0
POOLESVILLE,MD,1357,1392.0
POTOMAC,MD,9302,9392.0
ROCKVILLE,MD,63676,64943.0
SANDY SPRING,MD,722,734.0
SILVER SPRING,MD,124664,127448.0
SPENCERVILLE,MD,203,205.0
TAKOMA PARK,MD,14942,15114.0
WASHINGTON GROVE,MD,94,95.0
WHEATON,MD,32272,32868.0
