City,State,Zip Code,total_incidents,total_victims
ASHTON,MD,20861,534,542.0
BARNESVILLE,MD,20838,69,71.0
BEALLSVILLE,MD,20839,56,56.0
BELTSVILLE,MD,20705,120,131.0
BETHESDA,MD,20810,4,4.0
BETHESDA,MD,20814,16119,16318.0
BETHESDA,MD,20816,3717,3752.0
BETHESDA,MD,20817,12871,13006.0
BETHESDA,MD,20889,102,102.0
BETHESDA,MD,20892,109,110.0
BETHESDA,MD,20894,6,6.0
BOYDS,MD,20841,1616,1652.0
BROOKEVILLE,MD,20833,1412,1431.0
BURTONSVILLE,MD,20866,5718,5835.0
CABIN JOHN,MD,20818,305,308.0
CHEVY CHASE,MD,20815,9370,9436.0
CLARKSBURG,MD,20871,6716,6884.0
DAMASCUS,MD,20872,3717,3835.0
DERWOOD,MD,20855,8412,8515.0
DICKERSON,MD,20842,416,427.0
GAITHERSBURG,MD,20877,25182,25832.0
GAITHERSBURG,MD,20878,24724,25168.0
GAITHERSBURG,MD,20879,11894,12194.0
GAITHERSBURG,MD,20882,2189,2233.0
GAITHERSBURG,MD,20899,16,16.0
GARRETT PARK,MD,20896,183,183.0
GERMANTOWN,MD,20874,27060,28134.0
GERMANTOWN,MD,20875,9,9.0
GERMANTOWN,MD,20876,16674,17030.0
GLEN ECHO,MD,20812,83,83.0
HIGHLAND,MD,20777,16,17.0
HYATTSVILLE,MD,20782,11,11.0
HYATTSVILLE,MD,20783,68,70.0
KENSINGTON,MD,20891,1,1.0
KENSINGTON,MD,20895,7186,7323.0
LAUREL,MD,20707,73,73.0
MONTGOMERY VILLAGE,MD,20885,2,2.0
MONTGOMERY VILLAGE,MD,20886,13821,14260.0
OLNEY,MD,20832,6484,6569.0
POOLESVILLE,MD,20837,1357,1392.0
POTOMAC,MD,20854,9302,9392.0
ROCKVILLE,MD,20850,27775,28339.0
ROCKVILLE,MD,20851,5915,6065.0
ROCKVILLE,MD,20852,22223,22600.0
ROCKVILLE,MD,20853,7763,7939.0
SANDY SPRING,MD,20860,722,734.0
SILVER SPRING,MD,20901,16020,16369.0
SILVER SPRING,MD,20903,9312,9571.0
SILVER SPRING,MD,20904,29339,29993.0
SILVER SPRING,MD,20905,4257,4340.0
SILVER SPRING,MD,20906,27765,28507.0
SILVER SPRING,MD,20910,37873,38570.0
SILVER SPRING,MD,20914,1,1.0
SILVER SPRING,MD,20993,97,97.0
SPENCERVILLE,MD,20868,203,205.0
TAKOMA PARK,MD,20912,14942,15114.0
WASHINGTON GROVE,MD,20880,94,95.0
WHEATON,MD,20902,32272,32868.0
